Variable:,pr
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,1625.46,236.52,210.85,217.18,170.46,112.13,58.20,29.35,24.36,39.78,89.57,154.59,221.12
Sergipe,1167.23,153.18,183.12,235.68,172.95,86.20,54.33,47.92,41.31,23.33,23.01,37.03,79.96
Tocantins,1724.44,334.74,312.23,326.16,162.77,24.20,1.86,0.45,0.50,3.78,51.62,161.49,278.94
Ceara,1691.14,297.05,324.55,388.77,324.31,121.16,15.86,3.19,1.37,1.12,4.70,27.81,144.72
"Name Unknown",1724.44,334.74,312.23,326.16,162.77,24.20,1.86,0.45,0.50,3.78,51.62,161.49,278.94
"Distrito Federal",1520.62,324.99,274.23,254.30,81.16,10.37,2.68,1.71,1.97,11.45,85.86,188.83,296.53
"Name Unknown",622.82,49.35,61.27,86.35,81.61,42.36,31.65,30.69,26.46,24.76,33.46,46.65,51.26
"Espirito Santo",1337.79,199.38,187.61,170.30,96.59,48.43,37.58,33.73,32.06,40.36,85.89,156.77,227.53
"Name Unknown",622.82,49.35,61.27,86.35,81.61,42.36,31.65,30.69,26.46,24.76,33.46,46.65,51.26
Goias,1572.58,331.82,288.93,255.00,82.88,12.54,3.27,2.32,2.55,15.95,89.06,193.25,291.12
"Name Unknown",622.82,49.35,61.27,86.35,81.61,42.36,31.65,30.69,26.46,24.76,33.46,46.65,51.26
Maranhao,1873.74,319.86,293.43,332.14,315.34,141.28,21.96,4.86,3.06,2.87,18.18,81.64,237.04
"Mato Grosso",1657.47,309.06,278.42,266.20,133.34,27.27,5.22,2.72,4.22,23.20,107.60,190.31,277.25
"Mato Grosso Do Sul",1273.43,231.39,204.55,159.63,69.83,30.96,17.40,14.81,17.48,41.68,105.70,167.90,217.19
"Minas Gerais",1404.75,263.29,231.39,191.28,67.46,20.91,13.15,11.67,12.32,27.90,90.40,175.05,264.88
Para,1611.90,221.65,171.76,182.03,214.20,175.57,70.75,24.33,12.97,12.91,50.22,140.37,231.97
Paraiba,1372.46,232.64,265.92,313.04,224.32,85.02,27.79,15.34,10.75,6.39,7.31,19.58,84.32
Parana,1420.75,213.03,176.28,127.82,79.73,68.53,52.59,42.41,50.77,94.91,165.99,182.74,200.53
Pernambuco,1299.50,228.73,253.99,300.42,179.80,62.62,26.53,18.24,14.18,8.64,9.74,28.60,106.82
Piaui,1724.90,340.83,335.79,372.50,235.64,58.60,5.71,1.21,0.73,0.99,15.08,75.02,222.36
"Rio De Janeiro",1420.37,227.08,189.85,162.56,86.83,50.09,39.35,35.22,41.05,65.61,121.37,164.43,233.05
"Rio Grande Do Norte",1390.86,245.36,279.34,325.99,273.71,101.90,23.23,8.18,5.07,3.21,4.33,15.31,84.75
"Rio Grande Do Sul",1288.56,134.48,111.33,103.35,104.37,106.82,76.29,60.04,63.90,107.38,153.10,153.18,141.21
Rondonia,1789.97,280.64,249.79,251.62,165.04,54.35,12.15,6.95,12.80,51.14,136.02,200.85,284.80
Acre,1837.44,255.95,241.85,252.97,181.72,79.75,29.38,17.94,29.28,74.76,149.57,224.75,268.52
Roraima,1555.26,32.48,30.60,52.21,137.38,259.00,315.98,180.00,97.42,63.17,86.41,141.84,82.14
Alagoas,1218.31,164.32,198.55,251.11,200.11,104.12,52.18,44.53,37.82,22.87,18.70,28.18,65.95
"Santa Catarina",1654.21,182.24,155.66,126.89,105.63,107.10,81.69,73.22,83.16,144.80,205.41,189.56,182.61
Amapa,1075.76,86.75,43.93,39.72,91.56,225.58,211.84,75.74,23.44,7.85,8.99,54.93,130.39
"Sao Paulo",1419.52,263.88,217.46,157.42,66.60,37.26,27.84,24.57,29.50,64.30,128.97,176.41,239.74
Amazonas,2049.17,195.18,168.10,211.08,250.60,212.07,104.22,48.26,50.19,91.11,161.41,221.81,234.70
Bahia,1190.63,217.29,227.32,236.60,98.63,27.57,16.49,14.70,11.72,9.75,28.69,82.74,158.21
