Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Brazil,30.25,29.91,30.24,30.17,29.58,28.65,27.92,28.43,30.22,32.65,33.68,31.86,30.26
Sergipe,28.70,30.39,30.21,30.10,29.42,28.23,27.03,26.19,26.25,27.24,29.30,30.61,30.96
Tocantins,31.71,29.84,29.81,29.92,30.70,30.97,30.29,31.01,32.64,35.69,37.42,34.62,30.94
Ceara,30.70,29.38,29.15,29.35,29.46,29.87,29.90,30.05,30.96,32.41,34.09,34.11,31.86
"Name Unknown",31.71,29.84,29.81,29.92,30.70,30.97,30.29,31.01,32.64,35.69,37.42,34.62,30.94
"Distrito Federal",28.37,27.80,27.78,27.71,27.97,26.81,25.46,25.45,27.19,31.17,33.17,31.23,28.77
"Name Unknown",26.55,28.45,29.14,29.10,28.52,27.11,25.70,24.62,24.02,24.06,24.69,26.04,27.38
"Espirito Santo",27.17,29.20,29.37,28.91,27.85,26.32,24.60,23.87,24.34,26.37,28.20,28.77,28.96
"Name Unknown",26.55,28.45,29.14,29.10,28.52,27.11,25.70,24.62,24.02,24.06,24.69,26.04,27.38
Goias,30.32,29.42,29.47,29.50,29.96,28.96,27.50,27.60,29.56,33.32,35.26,32.74,30.35
"Name Unknown",26.55,28.45,29.14,29.10,28.52,27.11,25.70,24.62,24.02,24.06,24.69,26.04,27.38
Maranhao,31.56,29.49,29.47,29.73,29.82,30.49,30.82,31.82,33.21,35.13,35.80,34.54,31.02
"Mato Grosso",31.27,29.96,29.97,30.07,30.30,29.99,29.02,29.74,32.02,35.57,36.35,32.75,30.59
"Mato Grosso Do Sul",30.06,31.28,31.16,30.87,30.04,27.88,25.33,25.48,28.24,32.48,33.83,32.28,31.57
"Minas Gerais",27.56,28.67,28.72,28.31,27.65,25.89,24.16,23.78,25.34,28.75,30.80,29.90,28.99
Para,31.75,29.97,30.70,31.13,30.19,29.79,30.16,31.49,33.54,35.67,36.39,33.32,30.45
Paraiba,29.07,29.59,29.03,29.14,28.75,28.26,27.57,27.11,27.50,28.86,30.96,32.22,31.38
Parana,24.73,27.85,28.00,27.25,25.47,22.48,19.85,19.44,21.72,24.80,26.01,26.14,27.23
Pernambuco,29.47,30.22,29.64,29.67,29.36,28.62,27.60,26.92,27.37,29.10,31.59,32.78,31.91
Piaui,31.39,29.81,29.60,29.79,30.25,30.63,30.14,30.29,31.44,33.96,36.11,35.49,31.76
"Rio De Janeiro",26.08,28.41,28.59,27.92,26.74,25.19,23.57,22.87,23.50,25.31,26.60,26.96,27.67
"Rio Grande Do Norte",30.33,30.28,29.83,29.98,29.95,29.91,29.35,29.25,29.62,30.61,32.35,33.21,32.22
"Rio Grande Do Sul",22.99,28.61,28.90,27.43,24.07,19.98,16.97,16.62,18.24,20.55,22.38,24.76,27.14
Rondonia,31.58,30.36,30.65,30.49,30.02,29.93,29.59,30.51,33.20,35.57,35.65,32.32,30.62
Acre,31.14,30.25,30.60,30.44,29.94,29.51,29.14,30.11,32.56,34.32,34.09,31.64,30.33
Roraima,31.56,31.90,33.24,33.61,31.72,29.27,28.59,29.38,31.43,33.98,34.57,31.13,30.56
Alagoas,29.00,30.52,30.34,30.35,29.62,28.65,27.52,26.66,26.64,27.66,29.56,30.89,31.14
"Santa Catarina",22.62,26.71,26.95,25.95,23.57,20.60,18.00,17.60,19.12,21.15,22.36,23.66,25.53
Amapa,30.92,29.87,30.71,31.49,30.99,29.15,29.26,30.40,32.08,33.27,33.52,32.61,30.15
"Sao Paulo",26.70,28.39,28.57,28.08,27.10,25.08,22.88,22.60,24.54,27.52,28.85,28.10,28.14
Amazonas,31.92,31.07,31.98,31.61,30.70,29.84,29.94,31.04,33.20,34.77,34.75,31.86,30.59
Bahia,28.67,29.59,29.31,29.13,28.92,27.70,26.20,25.71,26.48,28.97,31.51,31.98,30.70
